Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
23,100|100|,46;22;32|46;22;32|,0.0|0.0|,46;22;32|46;22;32|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,0;0;0|0;0;0|,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,100|100|
24,100|100|,50;22;28|50;22;28|,0.0|0.0|,50;22;28|50;22;28|,48;23;29|48;23;29|,48;23;29|48;23;29|,100|100|,0;0;0|0;0;0|,100|100|,48;23;29|48;23;29|,48;23;29|48;23;29|,100|100|,100|100|
25,100|100|,48;23;29|48;23;29|,0.0|0.0|,48;23;29|48;23;29|,45;24;31|45;24;31|,45;24;31|45;24;31|,100|100|,0;0;0|0;0;0|,100|100|,45;24;31|45;24;31|,45;24;31|45;24;31|,100|100|,100|100|
26,100|100|,45;24;31|45;24;31|,0.0|0.0|,45;24;31|45;24;31|,43;28;29|43;28;29|,43;28;29|43;28;29|,100|100|,0;0;0|0;0;0|,100|100|,43;28;29|43;28;29|,43;28;29|43;28;29|,100|100|,100|100|
27,100|100|,43;28;29|43;28;29|,0.0|0.0|,43;28;29|43;28;29|,44;24;32|44;24;32|,44;24;32|44;24;32|,100|100|,0;0;0|0;0;0|,100|100|,44;24;32|44;24;32|,44;24;32|44;24;32|,100|100|,100|100|
28,100|100|,44;24;32|44;24;32|,0.0|0.0|,44;24;32|44;24;32|,45;29;26|45;29;26|,45;29;26|45;29;26|,100|100|,0;0;0|0;0;0|,100|100|,45;29;26|45;29;26|,45;29;26|45;29;26|,100|100|,100|100|
29,100|100|,45;29;26|45;29;26|,0.0|0.0|,45;29;26|45;29;26|,42;37;21|42;37;21|,42;37;21|42;37;21|,100|100|,0;0;0|0;0;0|,100|100|,42;37;21|42;37;21|,42;37;21|42;37;21|,100|100|,100|100|
30,100|100|,42;37;21|42;37;21|,0.0|0.0|,42;37;21|42;37;21|,33;41;26|33;41;26|,33;41;26|33;41;26|,100|100|,0;0;0|0;0;0|,100|100|,33;41;26|33;41;26|,33;41;26|33;41;26|,100|100|,100|100|
31,100|100|,33;41;26|33;41;26|,0.0|0.0|,33;41;26|33;41;26|,32;42;26|32;42;26|,32;42;26|32;42;26|,100|100|,0;0;0|0;0;0|,100|100|,32;42;26|32;42;26|,32;42;26|32;42;26|,100|100|,100|100|
32,100|100|,32;42;26|32;42;26|,0.0|0.0|,32;42;26|32;42;26|,40;40;20|40;40;20|,40;40;20|40;40;20|,100|100|,0;0;0|0;0;0|,100|100|,40;40;20|40;40;20|,40;40;20|40;40;20|,100|100|,100|100|
33,100|100|,40;40;20|40;40;20|,0.0|0.0|,40;40;20|40;40;20|,34;42;24|34;42;24|,34;42;24|34;42;24|,100|100|,0;0;0|0;0;0|,100|100|,34;42;24|34;42;24|,34;42;24|34;42;24|,100|100|,100|100|
34,100|100|,34;42;24|34;42;24|,0.0|0.0|,34;42;24|34;42;24|,32;36;32|32;36;32|,32;36;32|32;36;32|,100|100|,0;0;0|0;0;0|,100|100|,32;36;32|32;36;32|,32;36;32|32;36;32|,100|100|,100|100|
35,100|100|,32;36;32|32;36;32|,0.0|0.0|,32;36;32|32;36;32|,33;36;31|33;36;31|,33;36;31|33;36;31|,100|100|,0;0;0|0;0;0|,100|100|,33;36;31|33;36;31|,33;36;31|33;36;31|,100|100|,100|100|
36,100|100|,33;36;31|33;36;31|,0.0|0.0|,33;36;31|33;36;31|,34;29;37|34;29;37|,34;29;37|34;29;37|,100|100|,0;0;0|0;0;0|,100|100|,34;29;37|34;29;37|,34;29;37|34;29;37|,100|100|,100|100|
37,100|100|,34;29;37|34;29;37|,0.0|0.0|,34;29;37|34;29;37|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,0;0;0|0;0;0|,100|100|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,100|100|
38,100|100|,40;30;30|40;30;30|,0.0|0.0|,40;30;30|40;30;30|,40;28;32|40;28;32|,40;28;32|40;28;32|,100|100|,0;0;0|0;0;0|,100|100|,40;28;32|40;28;32|,40;28;32|40;28;32|,100|100|,100|100|
39,100|100|,40;28;32|40;28;32|,0.0|0.0|,40;28;32|40;28;32|,42;26;32|42;26;32|,42;26;32|42;26;32|,100|100|,0;0;0|0;0;0|,100|100|,42;26;32|42;26;32|,42;26;32|42;26;32|,100|100|,100|100|
40,100|100|,42;26;32|42;26;32|,0.0|0.0|,42;26;32|42;26;32|,48;21;31|48;21;31|,48;21;31|48;21;31|,100|100|,0;0;0|0;0;0|,100|100|,48;21;31|48;21;31|,48;21;31|48;21;31|,100|100|,100|100|
41,100|100|,48;21;31|48;21;31|,0.0|0.0|,48;21;31|48;21;31|,46;21;33|46;21;33|,46;21;33|46;21;33|,100|100|,0;0;0|0;0;0|,100|100|,46;21;33|46;21;33|,46;21;33|46;21;33|,100|100|,100|100|
42,100|100|,46;21;33|46;21;33|,0.0|0.0|,46;21;33|46;21;33|,52;16;32|52;16;32|,52;16;32|52;16;32|,100|100|,0;0;0|0;0;0|,100|100|,52;16;32|52;16;32|,52;16;32|52;16;32|,100|100|,100|100|
43,100|100|,52;16;32|52;16;32|,0.0|0.0|,52;16;32|52;16;32|,50;19;31|50;19;31|,50;19;31|50;19;31|,100|100|,0;0;0|0;0;0|,100|100|,50;19;31|50;19;31|,50;19;31|50;19;31|,100|100|,100|100|
44,100|100|,50;19;31|50;19;31|,0.0|0.0|,50;19;31|50;19;31|,56;21;23|56;21;23|,56;21;23|56;21;23|,100|100|,0;0;0|0;0;0|,100|100|,56;21;23|56;21;23|,56;21;23|56;21;23|,100|100|,100|100|
45,100|100|,56;21;23|56;21;23|,0.0|0.0|,56;21;23|56;21;23|,48;20;32|48;20;32|,48;20;32|48;20;32|,100|100|,0;0;0|0;0;0|,100|100|,48;20;32|48;20;32|,48;20;32|48;20;32|,100|100|,100|100|
46,100|100|,48;20;32|48;20;32|,0.0|0.0|,48;20;32|48;20;32|,54;20;26|54;20;26|,54;20;26|54;20;26|,100|100|,0;0;0|0;0;0|,100|100|,54;20;26|54;20;26|,54;20;26|54;20;26|,100|100|,100|100|
47,100|100|,54;20;26|54;20;26|,0.0|0.0|,54;20;26|54;20;26|,49;24;27|49;24;27|,49;24;27|49;24;27|,100|100|,0;0;0|0;0;0|,100|100|,49;24;27|49;24;27|,49;24;27|49;24;27|,100|100|,100|100|
48,100|100|,49;24;27|49;24;27|,0.0|0.0|,49;24;27|49;24;27|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,0;0;0|0;0;0|,100|100|,50;22;28|50;22;28|,50;22;28|50;22;28|,100|100|,100|100|
49,100|100|,50;22;28|50;22;28|,0.0|0.0|,50;22;28|50;22;28|,51;21;28|51;21;28|,51;21;28|51;21;28|,100|100|,0;0;0|0;0;0|,100|100|,51;21;28|51;21;28|,51;21;28|51;21;28|,100|100|,100|100|
