Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
10,100|100|,53;30;17|53;30;17|,0.0|0.0|,53;30;17|53;30;17|,47;32;21|47;32;21|,47;32;21|47;32;21|,100|100|,0;0;0|0;0;0|,100|100|,47;32;21|47;32;21|,47;32;21|47;32;21|,100|100|,100|100|
11,100|100|,47;32;21|47;32;21|,0.0|0.0|,47;32;21|47;32;21|,49;26;25|49;26;25|,49;26;25|49;26;25|,100|100|,0;0;0|0;0;0|,100|100|,49;26;25|49;26;25|,49;26;25|49;26;25|,100|100|,100|100|
12,100|100|,49;26;25|49;26;25|,0.0|0.0|,49;26;25|49;26;25|,46;28;26|46;28;26|,46;28;26|46;28;26|,100|100|,0;0;0|0;0;0|,100|100|,46;28;26|46;28;26|,46;28;26|46;28;26|,100|100|,100|100|
13,100|100|,46;28;26|46;28;26|,0.0|0.0|,46;28;26|46;28;26|,50;29;21|50;29;21|,50;29;21|50;29;21|,100|100|,0;0;0|0;0;0|,100|100|,50;29;21|50;29;21|,50;29;21|50;29;21|,100|100|,100|100|
14,100|100|,50;29;21|50;29;21|,0.0|0.0|,50;29;21|50;29;21|,46;33;21|46;33;21|,46;33;21|46;33;21|,100|100|,0;0;0|0;0;0|,100|100|,46;33;21|46;33;21|,46;33;21|46;33;21|,100|100|,100|100|
15,100|100|,46;33;21|46;33;21|,0.0|0.0|,46;33;21|46;33;21|,38;35;27|38;35;27|,38;35;27|38;35;27|,100|100|,0;0;0|0;0;0|,100|100|,38;35;27|38;35;27|,38;35;27|38;35;27|,100|100|,100|100|
16,100|100|,38;35;27|38;35;27|,0.0|0.0|,38;35;27|38;35;27|,36;33;31|36;33;31|,36;33;31|36;33;31|,100|100|,0;0;0|0;0;0|,100|100|,36;33;31|36;33;31|,36;33;31|36;33;31|,100|100|,100|100|
17,100|100|,36;33;31|36;33;31|,0.0|0.0|,36;33;31|36;33;31|,36;33;31|36;33;31|,36;33;31|36;33;31|,100|100|,0;0;0|0;0;0|,100|100|,36;33;31|36;33;31|,36;33;31|36;33;31|,100|100|,100|100|
18,100|100|,36;33;31|36;33;31|,0.0|0.0|,36;33;31|36;33;31|,28;38;34|28;38;34|,28;38;34|28;38;34|,100|100|,0;0;0|0;0;0|,100|100|,28;38;34|28;38;34|,28;38;34|28;38;34|,100|100|,100|100|
19,100|100|,28;38;34|28;38;34|,0.0|0.0|,28;38;34|28;38;34|,26;37;37|26;37;37|,26;37;37|26;37;37|,100|100|,0;0;0|0;0;0|,100|100|,26;37;37|26;37;37|,26;37;37|26;37;37|,100|100|,100|100|
20,100|100|,26;37;37|26;37;37|,0.0|0.0|,26;37;37|26;37;37|,28;29;43|28;29;43|,28;29;43|28;29;43|,100|100|,0;0;0|0;0;0|,100|100|,28;29;43|28;29;43|,28;29;43|28;29;43|,100|100|,100|100|
21,100|100|,28;29;43|28;29;43|,0.0|0.0|,28;29;43|28;29;43|,34;27;39|34;27;39|,34;27;39|34;27;39|,100|100|,0;0;0|0;0;0|,100|100|,34;27;39|34;27;39|,34;27;39|34;27;39|,100|100|,100|100|
22,100|100|,34;27;39|34;27;39|,0.0|0.0|,34;27;39|34;27;39|,32;26;42|32;26;42|,32;26;42|32;26;42|,100|100|,0;0;0|0;0;0|,100|100|,32;26;42|32;26;42|,32;26;42|32;26;42|,100|100|,100|100|
23,100|100|,32;26;42|32;26;42|,0.0|0.0|,32;26;42|32;26;42|,37;23;40|37;23;40|,37;23;40|37;23;40|,100|100|,0;0;0|0;0;0|,100|100|,37;23;40|37;23;40|,37;23;40|37;23;40|,100|100|,100|100|
24,100|100|,37;23;40|37;23;40|,0.0|0.0|,37;23;40|37;23;40|,42;22;36|42;22;36|,42;22;36|42;22;36|,100|100|,0;0;0|0;0;0|,100|100|,42;22;36|42;22;36|,42;22;36|42;22;36|,100|100|,100|100|
25,100|100|,42;22;36|42;22;36|,0.0|0.0|,42;22;36|42;22;36|,44;19;37|44;19;37|,44;19;37|44;19;37|,100|100|,0;0;0|0;0;0|,100|100|,44;19;37|44;19;37|,44;19;37|44;19;37|,100|100|,100|100|
26,100|100|,44;19;37|44;19;37|,0.0|0.0|,44;19;37|44;19;37|,47;21;32|47;21;32|,47;21;32|47;21;32|,100|100|,0;0;0|0;0;0|,100|100|,47;21;32|47;21;32|,47;21;32|47;21;32|,100|100|,100|100|
27,100|100|,47;21;32|47;21;32|,0.0|0.0|,47;21;32|47;21;32|,51;22;27|51;22;27|,51;22;27|51;22;27|,100|100|,0;0;0|0;0;0|,100|100|,51;22;27|51;22;27|,51;22;27|51;22;27|,100|100|,100|100|
28,100|100|,51;22;27|51;22;27|,0.0|0.0|,51;22;27|51;22;27|,49;25;26|49;25;26|,49;25;26|49;25;26|,100|100|,0;0;0|0;0;0|,100|100|,49;25;26|49;25;26|,49;25;26|49;25;26|,100|100|,100|100|
29,100|100|,49;25;26|49;25;26|,0.0|0.0|,49;25;26|49;25;26|,48;25;27|48;25;27|,48;25;27|48;25;27|,100|100|,0;0;0|0;0;0|,100|100|,48;25;27|48;25;27|,48;25;27|48;25;27|,100|100|,100|100|
30,100|100|,48;25;27|48;25;27|,0.0|0.0|,48;25;27|48;25;27|,52;26;22|52;26;22|,52;26;22|52;26;22|,100|100|,0;0;0|0;0;0|,100|100|,52;26;22|52;26;22|,52;26;22|52;26;22|,100|100|,100|100|
31,100|100|,52;26;22|52;26;22|,0.0|0.0|,52;26;22|52;26;22|,47;33;20|47;33;20|,47;33;20|47;33;20|,100|100|,0;0;0|0;0;0|,100|100|,47;33;20|47;33;20|,47;33;20|47;33;20|,100|100|,100|100|
32,100|100|,47;33;20|47;33;20|,0.0|0.0|,47;33;20|47;33;20|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,0;0;0|0;0;0|,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,100|100|
33,100|100|,46;31;23|46;31;23|,0.0|0.0|,46;31;23|46;31;23|,42;33;25|42;33;25|,42;33;25|42;33;25|,100|100|,0;0;0|0;0;0|,100|100|,42;33;25|42;33;25|,42;33;25|42;33;25|,100|100|,100|100|
34,100|100|,42;33;25|42;33;25|,0.0|0.0|,42;33;25|42;33;25|,37;33;30|37;33;30|,37;33;30|37;33;30|,100|100|,0;0;0|0;0;0|,100|100|,37;33;30|37;33;30|,37;33;30|37;33;30|,100|100|,100|100|
35,100|100|,37;33;30|37;33;30|,0.0|0.0|,37;33;30|37;33;30|,44;30;26|44;30;26|,44;30;26|44;30;26|,100|100|,0;0;0|0;0;0|,100|100|,44;30;26|44;30;26|,44;30;26|44;30;26|,100|100|,100|100|
36,100|100|,44;30;26|44;30;26|,0.0|0.0|,44;30;26|44;30;26|,44;32;24|44;32;24|,44;32;24|44;32;24|,100|100|,0;0;0|0;0;0|,100|100|,44;32;24|44;32;24|,44;32;24|44;32;24|,100|100|,100|100|
37,100|100|,44;32;24|44;32;24|,0.0|0.0|,44;32;24|44;32;24|,44;28;28|44;28;28|,44;28;28|44;28;28|,100|100|,0;0;0|0;0;0|,100|100|,44;28;28|44;28;28|,44;28;28|44;28;28|,100|100|,100|100|
38,100|100|,44;28;28|44;28;28|,0.0|0.0|,44;28;28|44;28;28|,52;22;26|52;22;26|,52;22;26|52;22;26|,100|100|,0;0;0|0;0;0|,100|100|,52;22;26|52;22;26|,52;22;26|52;22;26|,100|100|,100|100|
39,100|100|,52;22;26|52;22;26|,0.0|0.0|,52;22;26|52;22;26|,56;21;23|56;21;23|,56;21;23|56;21;23|,100|100|,0;0;0|0;0;0|,100|100|,56;21;23|56;21;23|,56;21;23|56;21;23|,100|100|,100|100|
40,100|100|,56;21;23|56;21;23|,0.0|0.0|,56;21;23|56;21;23|,55;23;22|55;23;22|,55;23;22|55;23;22|,100|100|,0;0;0|0;0;0|,100|100|,55;23;22|55;23;22|,55;23;22|55;23;22|,100|100|,100|100|
41,100|100|,55;23;22|55;23;22|,0.0|0.0|,55;23;22|55;23;22|,55;23;22|55;23;22|,55;23;22|55;23;22|,100|100|,0;0;0|0;0;0|,100|100|,55;23;22|55;23;22|,55;23;22|55;23;22|,100|100|,100|100|
42,100|100|,55;23;22|55;23;22|,0.0|0.0|,55;23;22|55;23;22|,51;25;24|51;25;24|,51;25;24|51;25;24|,100|100|,0;0;0|0;0;0|,100|100|,51;25;24|51;25;24|,51;25;24|51;25;24|,100|100|,100|100|
43,100|100|,51;25;24|51;25;24|,0.0|0.0|,51;25;24|51;25;24|,49;29;22|49;29;22|,49;29;22|49;29;22|,100|100|,0;0;0|0;0;0|,100|100|,49;29;22|49;29;22|,49;29;22|49;29;22|,100|100|,100|100|
44,100|100|,49;29;22|49;29;22|,0.0|0.0|,49;29;22|49;29;22|,48;23;29|48;23;29|,48;23;29|48;23;29|,100|100|,0;0;0|0;0;0|,100|100|,48;23;29|48;23;29|,48;23;29|48;23;29|,100|100|,100|100|
45,100|100|,48;23;29|48;23;29|,0.0|0.0|,48;23;29|48;23;29|,47;22;31|47;22;31|,47;22;31|47;22;31|,100|100|,0;0;0|0;0;0|,100|100|,47;22;31|47;22;31|,47;22;31|47;22;31|,100|100|,100|100|
46,100|100|,47;22;31|47;22;31|,0.0|0.0|,47;22;31|47;22;31|,49;27;24|49;27;24|,49;27;24|49;27;24|,100|100|,0;0;0|0;0;0|,100|100|,49;27;24|49;27;24|,49;27;24|49;27;24|,100|100|,100|100|
47,100|100|,49;27;24|49;27;24|,0.0|0.0|,49;27;24|49;27;24|,50;27;23|50;27;23|,50;27;23|50;27;23|,100|100|,0;0;0|0;0;0|,100|100|,50;27;23|50;27;23|,50;27;23|50;27;23|,100|100|,100|100|
48,100|100|,50;27;23|50;27;23|,0.0|0.0|,50;27;23|50;27;23|,45;32;23|45;32;23|,45;32;23|45;32;23|,100|100|,0;0;0|0;0;0|,100|100|,45;32;23|45;32;23|,45;32;23|45;32;23|,100|100|,100|100|
49,100|100|,45;32;23|45;32;23|,0.0|0.0|,45;32;23|45;32;23|,43;28;29|43;28;29|,43;28;29|43;28;29|,100|100|,0;0;0|0;0;0|,100|100|,43;28;29|43;28;29|,43;28;29|43;28;29|,100|100|,100|100|
