Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
10,100|100|,67;8;10;15|67;8;10;15|,67;8;10;15|67;8;10;15|,62;8;14;16|62;8;14;16|,62;8;14;16|62;8;14;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,62;8;14;16|62;8;14;16|,62;8;14;16|62;8;14;16|,100|100|,100|100|
11,100|100|,62;8;14;16|62;8;14;16|,62;8;14;16|62;8;14;16|,58;10;14;18|58;10;14;18|,58;10;14;18|58;10;14;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,58;10;14;18|58;10;14;18|,58;10;14;18|58;10;14;18|,100|100|,100|100|
12,100|100|,58;10;14;18|58;10;14;18|,58;10;14;18|58;10;14;18|,54;10;14;22|54;10;14;22|,54;10;14;22|54;10;14;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;10;14;22|54;10;14;22|,54;10;14;22|54;10;14;22|,100|100|,100|100|
13,100|100|,54;10;14;22|54;10;14;22|,54;10;14;22|54;10;14;22|,47;11;17;25|47;11;17;25|,47;11;17;25|47;11;17;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,47;11;17;25|47;11;17;25|,47;11;17;25|47;11;17;25|,100|100|,100|100|
14,100|100|,47;11;17;25|47;11;17;25|,47;11;17;25|47;11;17;25|,44;12;15;29|44;12;15;29|,44;12;15;29|44;12;15;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,44;12;15;29|44;12;15;29|,44;12;15;29|44;12;15;29|,100|100|,100|100|
15,100|100|,44;12;15;29|44;12;15;29|,44;12;15;29|44;12;15;29|,39;12;17;32|39;12;17;32|,39;12;17;32|39;12;17;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,39;12;17;32|39;12;17;32|,39;12;17;32|39;12;17;32|,100|100|,100|100|
16,100|100|,39;12;17;32|39;12;17;32|,39;12;17;32|39;12;17;32|,36;8;23;33|36;8;23;33|,36;8;23;33|36;8;23;33|,100|100|,0;0;0;0|0;0;0;0|,100|100|,36;8;23;33|36;8;23;33|,36;8;23;33|36;8;23;33|,100|100|,100|100|
17,100|100|,36;8;23;33|36;8;23;33|,36;8;23;33|36;8;23;33|,31;9;24;36|31;9;24;36|,31;9;24;36|31;9;24;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,31;9;24;36|31;9;24;36|,31;9;24;36|31;9;24;36|,100|100|,100|100|
18,100|100|,31;9;24;36|31;9;24;36|,31;9;24;36|31;9;24;36|,24;12;22;42|24;12;22;42|,24;12;22;42|24;12;22;42|,100|100|,0;0;0;0|0;0;0;0|,100|100|,24;12;22;42|24;12;22;42|,24;12;22;42|24;12;22;42|,100|100|,100|100|
19,100|100|,24;12;22;42|24;12;22;42|,24;12;22;42|24;12;22;42|,20;10;23;47|20;10;23;47|,20;10;23;47|20;10;23;47|,100|100|,0;0;0;0|0;0;0;0|,100|100|,20;10;23;47|20;10;23;47|,20;10;23;47|20;10;23;47|,100|100|,100|100|
20,100|100|,20;10;23;47|20;10;23;47|,20;10;23;47|20;10;23;47|,19;2;30;49|19;2;30;49|,19;2;30;49|19;2;30;49|,100|100|,0;0;0;0|0;0;0;0|,100|100|,19;2;30;49|19;2;30;49|,19;2;30;49|19;2;30;49|,100|100|,100|100|
21,100|100|,19;2;30;49|19;2;30;49|,19;2;30;49|19;2;30;49|,18;3;30;49|18;3;30;49|,18;3;30;49|18;3;30;49|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;3;30;49|18;3;30;49|,18;3;30;49|18;3;30;49|,100|100|,100|100|
22,100|100|,18;3;30;49|18;3;30;49|,18;3;30;49|18;3;30;49|,18;0;28;54|18;0;28;54|,18;0;28;54|18;0;28;54|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;0;28;54|18;0;28;54|,18;0;28;54|18;0;28;54|,100|100|,100|100|
23,100|100|,18;0;28;54|18;0;28;54|,18;0;28;54|18;0;28;54|,17;1;27;55|17;1;27;55|,17;1;27;55|17;1;27;55|,100|100|,0;0;0;0|0;0;0;0|,100|100|,17;1;27;55|17;1;27;55|,17;1;27;55|17;1;27;55|,100|100|,100|100|
24,100|100|,17;1;27;55|17;1;27;55|,17;1;27;55|17;1;27;55|,16;2;23;59|16;2;23;59|,16;2;23;59|16;2;23;59|,100|100|,0;0;0;0|0;0;0;0|,100|100|,16;2;23;59|16;2;23;59|,16;2;23;59|16;2;23;59|,100|100|,100|100|
25,100|100|,16;2;23;59|16;2;23;59|,16;2;23;59|16;2;23;59|,15;1;22;62|15;1;22;62|,15;1;22;62|15;1;22;62|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;1;22;62|15;1;22;62|,15;1;22;62|15;1;22;62|,100|100|,100|100|
26,100|100|,15;1;22;62|15;1;22;62|,15;1;22;62|15;1;22;62|,14;2;19;65|14;2;19;65|,14;2;19;65|14;2;19;65|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;2;19;65|14;2;19;65|,14;2;19;65|14;2;19;65|,100|100|,100|100|
27,100|100|,14;2;19;65|14;2;19;65|,14;2;19;65|14;2;19;65|,13;2;18;67|13;2;18;67|,13;2;18;67|13;2;18;67|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;2;18;67|13;2;18;67|,13;2;18;67|13;2;18;67|,100|100|,100|100|
28,100|100|,13;2;18;67|13;2;18;67|,13;2;18;67|13;2;18;67|,12;1;17;70|12;1;17;70|,12;1;17;70|12;1;17;70|,100|100|,0;0;0;0|0;0;0;0|,100|100|,12;1;17;70|12;1;17;70|,12;1;17;70|12;1;17;70|,100|100|,100|100|
29,100|100|,12;1;17;70|12;1;17;70|,12;1;17;70|12;1;17;70|,11;1;15;73|11;1;15;73|,11;1;15;73|11;1;15;73|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;1;15;73|11;1;15;73|,11;1;15;73|11;1;15;73|,100|100|,100|100|
30,100|100|,11;1;15;73|11;1;15;73|,11;1;15;73|11;1;15;73|,10;1;14;75|10;1;14;75|,10;1;14;75|10;1;14;75|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;1;14;75|10;1;14;75|,10;1;14;75|10;1;14;75|,100|100|,100|100|
31,100|100|,10;1;14;75|10;1;14;75|,10;1;14;75|10;1;14;75|,10;0;14;76|10;0;14;76|,10;0;14;76|10;0;14;76|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;14;76|10;0;14;76|,10;0;14;76|10;0;14;76|,100|100|,100|100|
32,100|100|,10;0;14;76|10;0;14;76|,10;0;14;76|10;0;14;76|,10;0;10;80|10;0;10;80|,10;0;10;80|10;0;10;80|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;10;80|10;0;10;80|,10;0;10;80|10;0;10;80|,100|100|,100|100|
33,100|100|,10;0;10;80|10;0;10;80|,10;0;10;80|10;0;10;80|,8;2;9;81|8;2;9;81|,8;2;9;81|8;2;9;81|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;2;9;81|8;2;9;81|,8;2;9;81|8;2;9;81|,100|100|,100|100|
34,100|100|,8;2;9;81|8;2;9;81|,8;2;9;81|8;2;9;81|,8;0;9;83|8;0;9;83|,8;0;9;83|8;0;9;83|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;0;9;83|8;0;9;83|,8;0;9;83|8;0;9;83|,100|100|,100|100|
35,100|100|,8;0;9;83|8;0;9;83|,8;0;9;83|8;0;9;83|,7;1;7;85|7;1;7;85|,7;1;7;85|7;1;7;85|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;1;7;85|7;1;7;85|,7;1;7;85|7;1;7;85|,100|100|,100|100|
36,100|100|,7;1;7;85|7;1;7;85|,7;1;7;85|7;1;7;85|,7;1;6;86|7;1;6;86|,7;1;6;86|7;1;6;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;1;6;86|7;1;6;86|,7;1;6;86|7;1;6;86|,100|100|,100|100|
37,100|100|,7;1;6;86|7;1;6;86|,7;1;6;86|7;1;6;86|,7;1;5;87|7;1;5;87|,7;1;5;87|7;1;5;87|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;1;5;87|7;1;5;87|,7;1;5;87|7;1;5;87|,100|100|,100|100|
38,100|100|,7;1;5;87|7;1;5;87|,7;1;5;87|7;1;5;87|,7;0;6;87|7;0;6;87|,7;0;6;87|7;0;6;87|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;0;6;87|7;0;6;87|,7;0;6;87|7;0;6;87|,100|100|,100|100|
39,100|100|,7;0;6;87|7;0;6;87|,7;0;6;87|7;0;6;87|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,100|100|,100|100|
40,100|100|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,100|100|,100|100|
41,100|100|,7;0;4;89|7;0;4;89|,7;0;4;89|7;0;4;89|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,100|100|,100|100|
42,100|100|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,100|100|,100|100|
43,100|100|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,100|100|,100|100|
44,100|100|,6;1;4;89|6;1;4;89|,6;1;4;89|6;1;4;89|,6;0;4;90|6;0;4;90|,6;0;4;90|6;0;4;90|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;4;90|6;0;4;90|,6;0;4;90|6;0;4;90|,100|100|,100|100|
45,100|100|,6;0;4;90|6;0;4;90|,6;0;4;90|6;0;4;90|,6;0;3;91|6;0;3;91|,6;0;3;91|6;0;3;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;3;91|6;0;3;91|,6;0;3;91|6;0;3;91|,100|100|,100|100|
46,100|100|,6;0;3;91|6;0;3;91|,6;0;3;91|6;0;3;91|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,100|100|
47,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,100|100|
48,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,100|100|
49,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,100|100|,100|100|
50,100|100|,6;0;2;92|6;0;2;92|,6;0;2;92|6;0;2;92|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,100|100|
51,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,100|100|
52,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,100|100|
53,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,100|100|
54,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,100|100|,100|100|
55,100|100|,6;0;1;93|6;0;1;93|,6;0;1;93|6;0;1;93|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
56,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
57,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
58,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
59,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
60,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
61,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
62,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
63,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
64,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
65,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
66,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
67,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
68,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
69,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
70,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
71,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
72,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
73,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
74,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
75,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
76,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
77,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
78,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
79,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
80,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
81,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
82,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
83,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
84,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
85,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
86,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
87,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
88,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
89,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
90,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
91,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
92,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;0;0;94|6;0;0;94|,6;0;0;94|6;0;0;94|,100|100|,100|100|
